vin,price
5J8YD4H05LL032532,500
KNAE45LC8K6050784,500
5XYZGDABXCG149606,500
1G1ZE5ST6HF197903,500
KL4MMDSL6LB106699,500
1FMJK1JT8KEA01413,500
1FD8W3HT9LEC47909,500
2FMPK4J93GBB49987,500
3C63R3EL0LG264012,500
1GC4YNE76LF322205,500
5N1AT2MV9LC793052,500
1FTEW1E57LFC48715,500
4T1BF1FK6HU364073,500
WA1BNAFY3J2034396,500
JN1AZ4EH3LM822601,500
2HGFC2F85LH559958,500
1GTW7FCG7F1194269,500
5NPD84LF0KH423636,500
JTMD6RFVXLD006313,500
1ZVBP8AM8E5295019,500
WAUG8AFC1HN124613,500
2C3CDZAG8LH161671,500
1GYS4GKJ1LR252703,500
1FTFW1EG3HKE07623,500
2T2JGMDA8LC054405,500
1C4NJRFB5GD637260,500
2T2AZMDA5LC238064,500
SALSF2D45CA739985,500
1G1BE5SM6J7132706,500
2GNALPEK3D6268320,500
1GTG6CEN7H1256354,500
JTDEPMAE0MJ128824,500
5TDXZ3DC8HS823665,500
3GNAXHEV2LS715210,500
1FTEW1E58KFA74202,500
JF2SJAEC6JH587372,500
1GCRCPEC3FZ204659,500
3N1CP5BV9LL530248,500
1C6SRFJT5LN349440,500
1HGCV3F98LA008563,500
5YFBURHEXJP841333,500
LRBFX3SX4LD122034,500
KNMAT2MV0LP539291,500
3LN6L5E99LR603888,500
1GC1KXCGXBF101479,500
2HKRW1H28LH404799,500
WVWJK73C88E109527,500
WP1AA2AY3LDA10339,500
1FMCU9GD3JUC37330,500
5TDGZRBH4LS516195,500
JM1DKDC73J1324292,500
JTEZU14R460079669,500
1C4RJFAG1CC156277,500
5NPD84LF2KH447940,500
3GNCJPSB1LL217086,500
2T3H1RFV8LW100922,500
KNDJT2A59C7467334,500
MAJ6S3KL5LC389546,500
19XFC2F54HE057692,500
ML32A5HJ1LH005040,500
3CZRU5H78GM705981,500
1G1105S37JU148349,500
WDAPF1CD3GP202529,500
5FNYF8H25LB014987,500
JN8AT2MV1LW135927,500
5J6RW2H29LL006349,500
3FA6P0CD6LR218247,500
3FA6P0H71HR260464,500
LRBFX1SA7LD078885,500
JTMWFREV8HD103530,500
5N1AT2MV8LC797500,500
1FTEW1E49LFB75063,500
3KPC24A64LE126116,500
3N1AB7APXJY267272,500
1FMCU9JD6HUD02044,500
1G6DM5RK2L0146138,500
1FTEW1CP0LKE35998,500
5N1AT2MV4LC777812,500
KL4CJASB1JB637591,500
2C3CDXHG6KH512439,500
WA1BCCFSXJR006633,500
KL7CJNSB7LB064077,500
2G1WT58KX89176570,500
KL7CJKSB5LB038267,500
JM1GL1UM8L1522883,500
2T1BURHE3KC238290,500
19XFC1F73LE218425,500
4T1B11HK7KU766185,500
1C4BJWEG2GL181755,500
1G6AX5SX4E0165115,500
3C4NJCBB3MT505865,500
5TDDGRFH4KS067490,500
3HGGK5H48LM722669,500
JM3KFBCM5L0794717,500
1GT121C80BF210443,500
4S4BSAFC0H3403427,500
3GKALPEV5KL194348,500
2GKFLTEK9H6239924,500
WA1B4AFY5L2039430,500
WDDZF4JB7HA266320,500
3FA6P0HD2LR261038,500
3C4NJCBB8MT518157,500
1G1ZG5ST6LF153368,500
WAUANAF48HN064854,500
1GKKNULS2LZ231730,500
3GCUKREC1FG302470,500
2C3CCAGG3JH267597,500
SCFRMFAW3LGL09248,500
3KPA24AD1LE334136,500
JTEBU5JR3J5561722,500
ZN661XUS6HX222524,500
1G1PE5SB8E7365819,500
1FA6P8CF3K5152712,500
1NXBR32E16Z701670,500
1FMCU0G63LUB57011,500
JF2SJAWC1JH428046,500
JTEBU5JRXA5014351,500
1D8HB58D14F142735,500
JF2SKAUC2LH587595,500
3GNCJLSB5LL310685,500
1C4HJXDG1KW536391,500
3VV2B7AX6LM003754,500
3N1CN8EV0LL823779,500
JTJBM7FX6H5155402,500
7FARW2H59KE047828,500
5N1AT2MT6FC914123,500
KL7CJPSB8GB536739,500
1FTEW1E52LFB96569,500
5N1DL0MMXLC523921,500
1C6SRFHT4KN517654,500
JN8AT2MT8LW017131,500
3FA6P0HD1HR376950,500
2CNFLEEC6B6371378,500
5J8YD3H30JL008902,500
1FTEW1EG0GFA42711,500
SALTY19454A839636,500
1HGCV2F54LA024816,500
1GTU9FEL1LZ324474,500
JF2SH6CC4AH764464,500
1GKKNMLS2LZ194825,500
ZFBCFYDT0GP501036,500
2G1FC3DD7B9209737,500
1C4RJFAGXLC413856,500
KM8J23A42KU895936,500
5XYPGDA36LG679989,500
4T1B11HK9KU191538,500
1HGCR2F35HA130072,500
3VV3B7AX6JM019888,500
5NMS2CAD7LH178191,500
KMHD84LF1LU003547,500
3GCNWAEH2LG345507,500
3KPF24AD2LE194278,500
2HGFA16529H304781,500
WBAWC73528E064392,500
2T3DFREV7FW303208,500
3HGGK5H85LM725063,500
KL8CB6SA6LC457701,500
ZACNJABB6LPL57668,500
1V2NE2CA3LC211895,500
1V2YE2CA1LC223427,500
KL4CJESB8KB832869,500
1N4BL4BV7LC214184,500
1C4RJFBG7LC341397,500
SBM22GCA3LW000602,500
2T1BURHE2HC914723,500
5GAKVCED2BJ314173,500
3VWG57AU7LM011859,500
4T1BF1FK9HU433922,500
3GCPCREA1CG307365,500
1C4PJLCB5LD648974,500
5XXGT4L35KG337316,500
1FMHK7D88BGA49099,500
2T3DFREV2JW849858,500
3KPC24A3XKE049417,500
WBAJE5C33HG916082,500
YV4A22RKXK1328826,500
1GKKNPLSXLZ203854,500
KNAE15LA8J6016124,500
3HGGK5G40JM702222,500
3GKALSEX2LL295756,500
2G61M5S38H9162797,500
1N4AZ1CP1LC301636,500
1GYS4CKJ3LR301196,500
1C4RDHAG9LC325044,500
3GNAXKEV0LS509901,500
5TDYZ3DC3LS022462,500
1FTMF1C55KKD93241,500
3GKALVEV1LL302213,500
1GNSKTKL6MR113391,500
KL7CJLSB3LB089594,500
1FMCU0GD4HUC76952,500
KMHD84LFXLU013154,500
1FMCU0G60LUB38884,500
W1K3G4EB7LW043784,500
1FT7W2BN4LEE30414,500
MAJ3S2GE1LC318058,500
4S4BRBAC5A3322115,500
1FMSK8DH3LGB65291,500
1GKKNULS3JZ216487,500
JTMWFREV3GJ065401,500
JTDKARFUXL3118547,500
1GTG5CEN0M1121956,500
1GTG6EEN4M1120656,500
KL4MMDSL3LB128451,500
1GCGSBEN4M1112177,500
2HGFC2F61LH502445,500
1C6HJTAG9LL211320,500
1GYS4HKJ6LR305921,500
SADCK2FX5LA657046,500
3GTU9DED7LG400857,500
WMWZB3C53DWR35751,500
JTDS4MCE0MJ056306,500
3GCPCSEC9HG399891,500
1ZVBP8CF1D5200328,500
4S4BTAEC1L3252945,500
3GTU9DED2LG252794,500
JTMY1RFV1LJ022157,500
1HGCV1F44LA105980,500
1GTR2VE77CZ176967,500
1FMSK8DH8LGC72059,500
1C4RJFAG3LC398455,500
1GYS4KKJ4JR203608,500
KL7CJLSB8LB093124,500
1FMJK1HT5LEA61964,500
4JGDF6EE6FA614136,500
1FTEW1EG2HFC28834,500
4T1BF1FK6GU547858,500
JF1VA1J69G9801307,500
1FTEW1E54KKE09107,500
SALCJ2FXXLH857046,500
5TDGZRBH6LS044839,500
KMHD74LF7LU948585,500
5N1AT2MT2KC773691,500
5FNYF5H24MB001924,500
1FMJK1PT7LEA51387,500
MAJ3S2GE2LC329442,500
WDZPE7CC1E5864905,500
1G6DT5RK2L0151245,500
1FMCU0EG7CKB62719,500
3N1AB7AP0KY293378,500
1FMCU9G63LUA94531,500
KM8K3CA54LU507861,500
KMHL34JJ1LA011618,500
1FM5K7B87FGB94484,500
1GYS3BKJXLR180809,500
1V2PR2CA1MC517542,500
1C6SRFFT1LN359374,500
1FTER4EH7LLA50477,500
KNMAT2MT5LP525000,500
SALVP2RXXJH269812,500
2FMPK4G97HBC68828,500
WDDZH6JB0LA723158,500
3FA6P0H71GR305319,500
WA1JCCFS9JR001659,500
JTMBFREV7JJ745906,500
JNKBV61F58M272594,500
3GKALTEV9JL297280,500
4S4BTAEC7L3261813,500
19XFC2F68LE211855,500
3N1AB61E77L717832,500
1FADP3K24HL293835,500
5GAEVAKW8LJ107120,500
3VWCB7BU9LM072927,500
1FA6P8TH8H5205429,500
ZACCJBCT9FPB31569,500
WMWXU9C03M2N29405,500
1FTMF1C52KKD38391,500
3FA6P0HD0LR107136,500
5XYPK4A55LG702551,500
2GKALMEK2H6153841,500
1GYS4DEF6DR370284,500
1GCUYGED3LZ338765,500
