vin,back_legroom_mm,body_type,city,city_fuel_economy,daysonmarket,dealer_zip,engine_displacement,engine_type,exterior_color,franchise_dealer,front_legroom_mm,fuel_type,height_mm,highway_fuel_economy,horsepower,interior_color,is_new,latitude,listed_date,listing_color,longitude,make_name,maximum_seating,mileage,model_name,power,savings_amount,seller_rating,torque,transmission,transmission_display,wheel_system,wheelbase_mm,width_mm,year,price
17.0,878.84,SUV / Crossover,Blair,16.0,36,68008,4000.0,6.0,White,True,1061.7199999999998,Gasoline,1805.9399999999998,20.0,236.0,,False,41.5198,1006.0,WHITE,-96.1455,Toyota,7.0,225900.0,4Runner,236.0,1258.0,4.5,2133.0,A,Automatic,4WD,2788.9199999999996,1910.08,2009,14800.0
1.0,1023.6199999999999,SUV / Crossover,Mattoon,22.0,426,61938,2400.0,4.0,Light Brownstone Pearlcoat,True,1043.94,Gasoline,1668.78,31.0,180.0,Black,True,39.4608,1006.0,UNKNOWN,-88.377,Jeep,5.0,13.0,Cherokee,271.0,0.0,4.62962962962963,2319.5,A,9-Speed Automatic,FWD,2697.48,1859.28,2019,26445.0
1.0,881.38,Sedan,Springfield,18.0,5,22150,3700.0,6.0,Liquid Platinum,True,1115.06,Gasoline,1468.12,25.0,328.0,Graphite,False,38.752,1005.5,GRAY,-77.1838,INFINITI,5.0,56458.0,G37,328.0,1024.0,3.882352941176471,2734.5,A,Automatic,AWD,2849.88,1772.9199999999998,2012,14000.0
2.0,1026.1599999999999,SUV / Crossover,Missoula,27.0,22,59801,1500.0,4.0,Obsidian Blue,True,1049.02,Gasoline,1689.1,32.0,190.0,Gray,True,46.8381,1006.0,BLUE,-114.038,Honda,5.0,0.0,CR-V,190.0,0.0,3.888888888888889,1089.5,CVT,Continuously Variable Transmission,AWD,2659.38,1854.1999999999998,2020,26293.0
3.0,1102.36,Pickup Truck,Greenville,16.0,57,75402,6200.0,8.0,White Frost Tricoat,True,1130.3,Gasoline,1917.6999999999998,22.0,420.0,White (Dark Walnut/Slate),True,33.0665,1006.5,WHITE,-96.1483,GMC,6.0,3.0,Sierra 1500,277.0,0.0,4.545454545454546,980.0,A,Automatic,4WD,3743.96,2062.48,2020,49223.0
1.0,0.0,Pickup Truck,Carlisle,17.0,176,17013,3700.0,6.0,White,,1051.56,Flex Fuel Vehicle,1935.48,23.0,302.0,Gray,False,40.2279,1008.5,WHITE,-77.1633,Ford,3.0,182000.0,F-150,360.0,1647.0,5.0,2315.0,A,6-Speed Automatic,4X2,3670.2999999999997,2463.7999999999997,2011,5995.0
2.0,949.9599999999999,Sedan,Racine,29.0,82,53406,2000.0,4.0,Platinum White Pearl,True,1074.4199999999998,Gasoline,1414.78,37.0,158.0,Black,True,42.7193,1007.0,GRAY,-87.8639,Honda,5.0,10.0,Civic,158.0,0.0,4.0,2169.0,CVT,Continuously Variable Transmission,FWD,2700.02,1798.32,2020,21723.0
1.0,1107.44,Pickup Truck,Jacksonville,16.0,28,28540,3500.0,6.0,Agate Black Metallic,True,1115.06,Gasoline,1960.8799999999999,22.0,375.0,Leather Bucket Seats W/Console Black,True,34.7473,1006.0,BLACK,-77.4095,Ford,6.0,10.0,F-150,395.0,0.0,4.333333333333333,2450.0,A,Automatic,4WD,3683.0,2458.72,2020,58492.0
1.0,1023.6199999999999,SUV / Crossover,Sterling,19.0,63,80751,3200.0,6.0,Bright White Clearcoat,True,1043.94,Gasoline,1681.48,27.0,271.0,Black,False,40.6204,1006.5,WHITE,-103.193,Jeep,5.0,,Cherokee,180.0,0.0,4.25,2485.5,A,Automatic,4WD,2700.02,1859.28,2019,27977.0
1.0,1023.6199999999999,Pickup Truck,Laurel,13.0,13,59044,5700.0,8.0,blue,False,1041.3999999999999,Gasoline,1922.78,19.0,390.0,,False,45.6508,1006.0,BLUE,-108.757,RAM,5.0,80816.0,1500,390.0,66.0,4.142857142857143,2203.5,A,6-Speed Automatic,4WD,3568.7,2016.76,2012,23472.0
3.0,982.98,SUV / Crossover,New Kensington,20.0,287,15068,2000.0,4.0,Silk Blue Metallic,True,1021.08,Gasoline,1684.0199999999998,27.0,184.0,Storm Gray,True,40.5907,1004.0,BLUE,-79.6962,Volkswagen,7.0,9.0,Tiguan,184.0,0.0,4.0,910.5,A,8-Speed Automatic,AWD,2788.9199999999996,1838.96,2020,25637.0
2.0,858.5199999999999,SUV / Crossover,Hinsdale,20.0,1,60521,2000.0,4.0,Narvik Black,True,1016.0,Gasoline,1648.46,27.0,246.0,Black (Ebony),False,41.8162,1005.5,BLACK,-87.9212,Land Rover,5.0,2910.0,Range Rover Evoque,246.0,73.0,4.314285714285714,834.5,A,9-Speed Automatic,AWD,2682.24,2100.58,2020,51119.0
1.0,1008.38,SUV / Crossover,Chadron,21.0,57,69337,2500.0,4.0,Iridium Metallic,True,1041.3999999999999,Gasoline,1676.3999999999999,25.0,193.0,jet black,False,42.829,1006.5,UNKNOWN,-103.021,GMC,7.0,19138.0,Acadia,193.0,502.0,4.5,2294.0,A,6-Speed Automatic,4WD,2857.5,1915.16,2017,25500.0
46.0,980.4399999999999,Sedan,Thousand Oaks,17.0,4,91362,4600.0,8.0,BLACK,True,1125.2199999999998,Gasoline,1480.82,25.0,368.0,,False,34.1596,1005.5,BLACK,-118.827,Hyundai,5.0,124748.0,Genesis,368.0,402.0,3.5,1912.0,A,Automatic,RWD,2936.24,1889.76,2009,8243.0
1.0,894.08,Sedan,Egg Harbor Township,28.0,277,8234,2500.0,4.0,Gun Metallic,True,1112.5199999999998,Gasoline,1440.18,39.0,188.0,Black (Charcoal),True,39.4371,1003.5,GRAY,-74.6167,Nissan,5.0,10.0,Altima,188.0,0.0,3.5357142857142856,1890.0,CVT,Continuously Variable Transmission,FWD,2824.48,1851.66,2020,22985.0
1.0,1054.1,SUV / Crossover,Hialeah,17.0,257,33012,3500.0,6.0,Blue Metallic,True,1115.06,Gasoline,1945.6399999999996,23.0,375.0,Black (Ebony),True,25.8665,1003.5,BLUE,-80.3077,Ford,8.0,5.0,Expedition,375.0,0.0,3.6,1360.0,A,Automatic,4X2,3111.5,2372.36,2020,52351.0
1.0,975.3599999999999,SUV / Crossover,Pekin,18.0,20,61554,3600.0,6.0,Summit White,True,1041.3999999999999,Gasoline,1795.78,27.0,310.0,Jet Black/Dark Galvanized,True,40.589,1006.0,WHITE,-89.641,Chevrolet,8.0,,Traverse,310.0,0.0,4.227272727272728,1533.0,A,9-Speed Automatic,FWD,3070.86,1996.4399999999998,2020,41989.0
5.0,977.9,SUV / Crossover,Brunswick,17.0,204,31520,3500.0,6.0,White,False,1051.56,Gasoline,1846.58,23.0,250.0,Brown (Tan),False,31.16,1009.0,WHITE,-81.4949,Honda,8.0,118889.0,Pilot,250.0,447.0,,2526.5,A,Automatic,FWD,2773.68,1993.8999999999999,2011,11900.0
5.0,1059.18,SUV / Crossover,Egg Harbor Township,19.0,7,8234,3500.0,6.0,Cayenne Red,True,1074.4199999999998,Gasoline,1767.8399999999997,25.0,260.0,Black (Charcoal),False,39.4294,1005.5,RED,-74.6014,Nissan,7.0,77080.0,Pathfinder,260.0,329.0,4.666666666666667,2320.0,CVT,Continuously Variable Transmission,4WD,2900.68,1960.8799999999999,2013,13999.0
